"","Player","Nation","Age","Pos","Born","Squad","Comp","MP","Starts","Min","90s","CrdY","CrdR","npxG+xAG","G+A.1","G-PK.1","G+A-PK","xG+xAG","Gls.y","Sh.x","SoT%","SoT/90","G/Sh","G/SoT","Dist","FK.x","PKatt.y","xG.y","npxG.y","npxG/Sh","G-xG","np:G-xG","Cmp%","TotDist.x","PrgDist.x","Cmp.1","Att.1","Cmp%.1","Cmp.2","Att.2","Cmp%.2","Cmp.3","Att.3","Cmp%.3","Ast.y","xAG.y","xA","A-xAG","KP","1/3.x","PPA","CrsPA","PrgP.y","Att.y","Live.x","Dead","FK.y","TB","Sw","Crs","TI","CK","In","Out","Str","Cmp.y","Off","Blocks.x","SCA","PassLive","PassDead","TO","Sh.y","Fld","Def","GCA90","PassLive.1","PassDead.1","TO.1","Sh.1","Fld.1","Def.1","Tkl","TklW","Def 3rd.x","Mid 3rd.x","Att 3rd.x","Tkl.1","Att.x.x","Tkl%","Lost","Blocks.y","Sh","Pass","Int","Tkl+Int","Clr","Err","Def Pen","Def 3rd.y","Mid 3rd.y","Att 3rd.y","Att Pen","Live.y","Att.y.y","Succ","Succ%","Tkld","Tkld%","Carries","TotDist.y","PrgDist.y","PrgC.y","1/3.y","CPA","Mis","Dis","Rec","PrgR.y"
"1727","Florian Tardieu","FRA",29,"MF",1992,"Troyes","fr Ligue 1",30,29,2632,29.2,0.21,0,0.17,0.21,0,0.07,0.28,0.14,0.68,25,0.17,0,0,31.2,0.14,0.14,0.13,0.02,0.03,0.01,-0.02,82.5,1105.5,362,23.8,26.1,91.3,24.5,28,87.3,7.91,13,60.9,0.07,0.14,0.15,-0.08,1.68,6.71,0.75,0.17,7.26,70.1,61.8,8.12,4.35,0.1,1.64,4.62,0.51,3.25,2.05,0.99,0,57.8,0.17,0.58,3.18,1.99,1.06,0,0.03,0.07,0.03,0.1,0.07,0.03,0,0,0,0,1.99,0.86,1.06,0.72,0.21,1.06,2.43,43.7,1.37,1.06,0.31,0.75,1.44,3.42,1.3,0,3.36,22.3,44.8,13.2,0.31,79.4,1.03,0.68,66.7,0.34,33.3,51.2,220.4,102.6,0.68,1.1,0.03,0.65,0.65,52.6,1.03
"1728","Matt Targett","ENG",25,"DF",1995,"Aston Villa","eng Premier League",33,33,2871,31.9,0.19,0,0.28,0.13,0.06,0.13,0.28,0.06,0.82,78.6,0.32,0.14,0.5,29.8,0,0,0.05,0.05,0.12,0.01,0.01,143.6,1233.5,587.6,35.3,40.7,173.6,29.4,37.7,155.8,6.4,16.43,77.8,0.06,0.23,0.19,-0.16,2.57,7.22,2.07,0.88,8.53,101.1,78.2,22.53,2.44,0.25,0.82,8.46,17.36,2.75,1.56,0.69,0.44,72.6,0.37,2.19,5.01,3.2,1.25,0.13,0.12,0.31,0,0.25,0.19,0.06,0,0,0,0,4.7,2.76,3.39,1.19,0.12,3.01,5.14,118.2,2.13,1.95,0.82,1.13,3.01,7.71,4.64,0.06,7.52,37.7,52.8,30.9,1.63,120.7,1.44,0.69,75.5,0.75,124.5,51.7,177.9,90.8,1.88,1.51,0.26,1.38,0.56,60.5,7.47
"1729","James Tarkowski","ENG",28,"DF",1992,"Burnley","eng Premier League",35,35,3106,34.5,0.32,0,0.09,0.09,0.03,0.09,0.09,0.03,0.64,27.3,0.17,0.05,0.17,11.3,0,0,0.07,0.07,0.12,-0.04,-0.04,68.6,524.5,247.2,7.51,10.3,72.8,10.7,13.9,77,4.99,9.1,54.8,0.06,0.01,0.03,0.04,0.29,2.17,0.35,0,2.81,34.5,33.6,0.72,0.61,0.03,0.99,0.03,0.12,0,0,0,0,23.7,0.14,0.2,0.81,0.7,0.03,0,0.06,0,0.03,0.06,0.06,0,0,0,0,0,1.88,1.3,1.36,0.49,0.03,0.96,1.36,70.2,0.41,2.17,1.77,0.41,1.39,3.28,5.39,0.12,8,23.7,20.3,3.33,1.94,47,0.2,0.14,71.4,0.06,28.6,17.3,73.9,35.5,0.09,0.17,0,0.38,0.14,20.3,0.32
"1730","Niklas Tauer","GER",20,"DF",2001,"Mainz 05","de Bundesliga",11,6,487,5.4,0.19,0.19,0.06,0,0,0,0.06,0,0.37,100,0.37,0,0,20,0,0,0.06,0.06,0.16,-0.06,-0.06,73.4,433.9,163.7,12.6,15.7,80,12.2,15.4,79.5,1.11,3.33,33.3,0,0,0.02,0,0,2.04,0.19,0,2.22,36.9,34.6,2.22,0.37,0,0,0.19,1.85,0,0,0,0,27,0,0.56,1.11,0.74,0,0,0.19,0.19,0,0.18,0.19,0,0,0,0,0,2.96,1.67,1.67,1.3,0,1.67,2.59,64.3,0.93,1.11,0.37,0.74,1.67,4.63,2.59,0,2.04,19.6,24.1,4.81,0.93,48.1,0.37,0.37,100,0,0,15.7,64.3,30.2,0.37,0.56,0,0.93,0,19.3,0.93
"1731","Nuno Tavares","POR",21,"DF",2000,"Arsenal","eng Premier League",22,13,1176,13.1,0.15,0,0.22,0.15,0.08,0.15,0.22,0.08,1.76,8.7,0.15,0.04,0.5,19.8,0,0,0.15,0.15,0.08,-0.07,-0.07,79.9,676.4,188.8,24.7,27.3,90.8,16.8,19.8,84.6,1.91,4.5,42.4,0.08,0.08,0.08,-0.01,0.76,2.82,0.76,0.38,3.21,55.5,46.8,8.63,0.99,0,0.69,3.05,7.63,0,0,0,0,44.4,0.08,1.98,2.06,1.45,0,0.31,0.08,0.15,0.08,0.23,0.15,0,0,0.08,0,0,1.6,1.07,0.76,0.53,0.31,0.61,1.37,44.4,0.76,1.15,0.38,0.76,0.69,2.29,2.52,0.08,3.89,21.2,26.4,22.2,2.98,68.9,2.75,1.37,50,1.37,50,38.9,236.2,128.4,3.59,2.21,0.92,2.21,0.99,42.7,6.95
"1732","Charlie Taylor","ENG",27,"DF",1993,"Burnley","eng Premier League",31,30,2731,30.3,0.1,0,0.13,0.1,0,0.1,0.13,0,0.23,0,0,0,0,22.4,0,0,0.01,0.01,0.02,-0.01,-0.01,70.4,546.4,231.8,16.4,18.6,88.3,11.4,15,75.6,3.33,8.65,38.5,0.1,0.13,0.08,-0.03,0.69,2.38,0.83,0.63,3,45.4,35.3,9.7,0.46,0,0.23,3.43,9.24,0,0,0,0,31.9,0.36,1.29,1.72,1.29,0.13,0.07,0,0.23,0,0.26,0.17,0.03,0.03,0,0.03,0,1.49,0.86,1.02,0.36,0.1,0.86,1.45,59.1,0.59,1.39,0.66,0.73,1.91,3.4,3.14,0.07,5.61,19.5,24.1,14.6,0.43,57.6,1.75,0.89,50.9,0.86,49.1,25,170,70.7,1.91,1.19,0.23,1.02,0.5,26.9,2.54
"1733","Aurélien Tchouaméni","FRA",21,"MF",2000,"Monaco","fr Ligue 1",35,33,2929,32.5,0.34,0.03,0.15,0.15,0.09,0.15,0.15,0.09,1.69,18.2,0.31,0.05,0.3,22.5,0,0,0.06,0.06,0.04,0.03,0.03,85.8,992.9,298.6,22.2,25.2,88.3,26.8,29.5,90.9,5.14,7.17,71.7,0.06,0.09,0.12,-0.02,0.65,6.03,1.05,0.12,7.69,64.3,62.2,1.97,1.91,0.18,0.4,0.52,0.06,0,0,0,0,55.2,0.22,0.74,2.18,1.54,0,0.22,0.22,0.12,0.09,0.25,0.25,0,0,0,0,0,2.65,1.38,1.02,1.51,0.12,0.89,1.69,52.7,0.8,1.2,0.22,0.98,3.11,5.75,1.05,0,2.46,14.7,51.4,11.4,1.48,76.5,1.57,1.17,74.5,0.4,25.5,49.4,261.6,116.2,1.45,1.26,0.18,0.58,0.92,51.5,1.2
"1734","Nathan Tella","ENG",22,"MF",1999,"Southampton","eng Premier League",14,10,804,8.9,0.22,0,0.13,0.11,0,0.11,0.13,0,1.35,41.7,0.56,0,0,21.8,0,0,0.07,0.07,0.05,-0.07,-0.07,58.2,162.4,43,6.85,9.1,75.3,3.48,6.18,56.4,0.45,1.46,30.8,0.11,0.07,0.03,0.04,0.79,1.24,0.45,0.34,1.91,19.9,18.9,0.9,0,0.11,0.11,1.35,0.34,0.22,0,0,0,11.6,0.11,0.9,2.58,1.46,0,0.22,0.22,0.67,0,0.45,0.34,0,0,0,0.11,0,1.46,1.01,0.56,0.79,0.11,0.67,1.91,35.3,1.24,1.46,0,1.46,0.67,2.13,1.01,0,0.9,6.74,14.2,16.9,2.25,36.4,2.92,1.12,38.5,1.8,61.5,21.8,165.5,75.4,2.47,2.47,0.45,4.49,2.7,20.6,4.94
"1735","Alex Telles","BRA",28,"DF",1992,"Manchester Utd","eng Premier League",21,18,1660,18.4,0.05,0,0.13,0.22,0,0.22,0.12,0,0.54,30,0.16,0,0,23.1,0.22,0,0.02,0.02,0.04,-0.02,-0.02,74.5,718.1,282.5,28.9,32.2,89.7,15.7,21.1,74,2.88,8.86,32.5,0.22,0.1,0.12,0.11,1.41,2.88,0.87,0.49,3.59,65.5,53.7,11.5,1.25,0.11,0.05,6.9,7.5,2.77,1.25,1.3,0,48.8,0.27,1.2,2.77,1.47,0.98,0.05,0.11,0.11,0.05,0.27,0,0.22,0,0,0.05,0,2.61,1.47,1.9,0.49,0.22,1.47,2.34,62.8,0.87,0.92,0.22,0.71,1.41,4.02,2.45,0,3.59,22.1,30.5,23.8,0.98,75.9,1.2,0.65,54.5,0.54,45.5,40.5,185.9,103.5,1.96,2.01,0.05,0.82,0.54,46.2,5.54
"1736","Cristian Tello","ESP",29,"FW",1991,"Betis","es La Liga",23,5,819,9.1,0.22,0,0.36,0.44,0.22,0.44,0.37,0.22,3.19,31,0.99,0.07,0.22,21.1,0.22,0,0.19,0.19,0.06,0.03,0.03,75.4,450.2,99.2,16.8,20.5,81.8,10.5,13.5,78,1.65,2.86,57.7,0.22,0.19,0.16,0.03,1.76,1.65,1.1,0.33,2.75,39.8,39,0.55,0.11,0,0.22,1.76,0.22,0.22,0.11,0.11,0,30,0.22,1.1,3.41,2.64,0,0.11,0.44,0,0.22,0.22,0.22,0,0,0,0,0,1.87,1.21,0.66,0.77,0.44,1.43,3.41,41.9,1.98,0.99,0,0.99,1.1,2.97,0.66,0,0.77,6.48,20.5,26.7,3.74,53.4,2.97,1.1,37,1.87,63,27.8,185.4,89.7,3.41,2.09,1.65,1.54,1.43,38.4,9.45
"1737","Nahuel Tenaglia","ARG",25,"DF",1996,"Alavés","es La Liga",14,12,1073,11.9,0.17,0,0.03,0,0,0,0.03,0,0.5,16.7,0.08,0,0,19.1,0,0,0.03,0.03,0.04,-0.03,-0.03,62.9,440.5,227.8,12.3,15.8,77.7,10.4,15,69.3,2.61,7.56,34.4,0,0.01,0.03,-0.01,0.25,2.86,0.76,0.25,3.53,40.8,31,9.75,0.17,0,0.17,2.02,9.58,0,0,0,0,25.6,0,1.18,1.6,1.01,0.34,0,0.08,0.08,0.08,0,0,0,0,0,0,0,3.53,2.27,2.52,0.76,0.25,2.02,3.11,64.9,1.09,0.84,0.17,0.67,2.18,5.71,3.53,0,3.7,21.4,22.6,10.2,0.67,53.9,0.92,0.59,63.6,0.34,36.4,19,99.8,54.5,1.43,1.18,0,1.18,0.5,19.7,1.26
"1738","Martin Terrier","FRA",24,"FW",1997,"Rennes","fr Ligue 1",37,37,2779,30.9,0.03,0,0.54,0.78,0.62,0.71,0.59,0.68,2.78,51.2,1.42,0.22,0.43,14.9,0,0.06,0.45,0.4,0.14,0.23,0.22,78.9,377,87.1,13.5,15.8,85.3,7.83,9.61,81.5,2.07,3.01,68.8,0.1,0.14,0.13,-0.05,1.36,2.04,1.36,0.23,3.98,31,30.1,0.68,0.1,0.16,0.36,0.91,0.06,0,0,0,0,24.5,0.23,0.65,3.53,2.75,0,0.19,0.32,0.19,0.06,0.58,0.45,0,0.03,0.03,0.06,0,1.78,1.07,0.71,0.52,0.55,0.81,1.39,58.1,0.58,0.94,0.1,0.84,0.58,2.36,0.55,0,0.65,4.43,18.4,19.9,4.24,42,1.91,0.91,47.5,1,52.5,26.9,168.3,79.1,2.75,1.78,0.91,1.94,0.74,31.9,7.38
"1739","Tanner Tessmann","USA",19,"MF",2001,"Venezia","it Serie A",20,6,680,7.6,0.13,0.13,0.11,0,0,0,0.1,0,1.05,37.5,0.4,0,0,16.5,0,0,0.08,0.08,0.08,-0.08,-0.08,72.2,418.2,144.1,9.21,10.9,84.3,8.55,10.1,84.4,3.29,6.18,53.2,0,0.01,0.01,-0.01,0.53,2.5,0.13,0,3.03,29.9,28.8,0.79,0.66,0,0.79,0.53,0,0,0,0,0,21.6,0.26,0.92,1.45,0.92,0,0.39,0,0,0.13,0.13,0.13,0,0,0,0,0,1.45,0.66,0.53,0.79,0.13,0.66,1.84,35.7,1.18,2.5,1.18,1.32,0.66,2.11,2.89,0,5.92,16.6,20,6.71,1.05,42.1,1.58,1.45,91.7,0,0,22.8,143.3,77.1,1.58,1.32,0.26,1.71,0.92,23.2,2.37
"1740","Tetê","BRA",21,"FW",2000,"Lyon","fr Ligue 1",9,7,583,6.5,0.15,0,0.69,1.08,0.31,1.08,0.7,0.31,2.62,41.2,1.08,0.12,0.29,16.1,0,0,0.35,0.35,0.13,-0.05,-0.05,78.1,484.8,133.4,13.5,15.7,86.3,11.4,14.2,80.4,2.46,4.62,53.3,0.77,0.35,0.28,0.42,2,2.77,2.46,0,5.69,37.2,34.6,2.62,0.77,0.15,0.15,3.08,0.15,1.69,0.62,0.46,0,29.1,0,0.92,4.92,3.23,0.46,0.31,0.62,0.31,0,1.23,0.92,0.15,0.15,0,0,0,1.54,0.77,0.62,0.77,0.15,0.46,2,23.1,1.54,0.62,0,0.62,0.46,2,0.15,0,0.77,4,19.2,26.5,4.46,48.5,5.38,3.54,65.7,1.85,34.3,39.7,284.9,143.5,4.31,2.62,1.69,2.15,1.69,37.2,7.38
"1741","Arthur Theate","BEL",21,"DF",2000,"Bologna","it Serie A",31,28,2424,26.9,0.22,0,0.08,0.11,0.07,0.11,0.08,0.07,0.78,28.6,0.22,0.1,0.33,16.7,0,0,0.06,0.06,0.07,0.02,0.02,82.7,830.4,300.3,19,21,90.1,21.7,24.7,88,4.5,7.92,56.8,0.04,0.02,0.01,0.01,0.22,4.01,0.33,0.11,3.98,55.3,52.7,2.57,1.67,0.07,0.48,0.67,0.86,0,0,0,0,45.8,0.04,0.59,0.89,0.86,0,0,0.04,0,0,0.15,0.15,0,0,0,0,0,1.23,0.71,0.97,0.11,0.15,0.52,1.15,45.2,0.63,1.08,0.59,0.48,1.56,2.79,2.57,0,5.35,28.8,31.2,5.02,0.78,64.1,1.08,0.71,65.5,0.37,34.5,38.8,215.4,125.8,1.38,1.41,0.04,0.82,0.37,43.1,0.63
"1742","Jan Thielmann","GER",19,"MF",2002,"Köln","de Bundesliga",29,10,1192,13.2,0.45,0,0.27,0.45,0.23,0.45,0.27,0.23,1.14,40,0.45,0.2,0.5,22.9,0,0,0.11,0.11,0.09,0.12,0.12,57.4,311.8,99.4,7.27,10.6,68.6,7.05,11,64.1,2.35,4.24,55.4,0.23,0.17,0.16,0.06,1.74,1.29,1.82,0.98,3.03,30.6,29.4,0.98,0.15,0.15,0.23,4.32,0.83,0,0,0,0,17.6,0.23,2.65,3.48,3.03,0.08,0.3,0,0.08,0,0.6,0.45,0,0.15,0,0,0,1.82,1.21,0.45,0.91,0.45,0.61,1.74,34.8,1.14,1.74,0.15,1.59,0.76,2.58,0.83,0,1.67,5.98,18.6,21.2,1.97,44.8,2.2,1.21,55.2,0.98,44.8,25.8,160.8,60.2,2.73,2.35,0.23,4.02,0.91,25.9,7.35
"1743","Sada Thioub","SEN",26,"DF",1995,"Saint-Étienne","fr Ligue 1",17,11,950,10.6,0.19,0,0.17,0.09,0,0.09,0.17,0,0.47,0,0,0,0,17.8,0,0,0.02,0.02,0.04,-0.02,-0.02,77.9,587.1,214.3,20.9,23.8,88.1,12.5,15.6,80.6,3.11,6.51,47.8,0.09,0.14,0.15,-0.05,1.13,3.68,1.42,0.28,5.47,49.4,42.3,6.89,0.19,0.19,0.38,3.02,6.6,0.09,0,0.09,0,38.5,0.28,0.57,2.36,1.89,0.09,0.19,0.09,0,0.09,0.28,0.28,0,0,0,0,0,1.23,0.75,0.47,0.75,0,0.57,1.32,42.9,0.75,0.85,0,0.85,0.94,2.17,0.75,0,1.51,12.8,30,15.9,1.79,58.1,2.08,1.13,54.5,0.94,45.5,37.1,235.6,113.3,2.83,2.26,0.57,1.32,0.94,37.9,6.32
"1744","Luke Thomas","ENG",20,"DF",2001,"Leicester City","eng Premier League",22,21,1912,21.2,0.09,0,0.07,0.05,0,0.05,0.07,0,0.19,0,0,0,0,19,0,0,0,0,0.04,0,0,79.2,679.4,241.7,28.2,31.1,90.5,16.3,20.5,79.7,1.75,4.53,38.5,0.05,0.06,0.06,-0.01,0.57,3.54,0.61,0.14,4.48,60,49.1,10.9,0.57,0.14,0.05,1.56,10.2,0.09,0.05,0.05,0,47.5,0.05,1.7,1.32,0.8,0.28,0.09,0.09,0,0.05,0.05,0.05,0,0,0,0,0,2.36,1.46,1.56,0.61,0.19,1.32,3.07,43.1,1.75,1.65,0.66,0.99,1.89,4.25,2.59,0,4.06,23.1,34.8,14.9,0.71,72.3,1.08,0.71,65.2,0.38,34.8,35.1,140,77,1.32,1.32,0.09,1.56,0.94,41.6,2.78
"1745","Romain Thomas","FRA",33,"DF",1988,"Angers","fr Ligue 1",30,29,2563,28.5,0.32,0,0.07,0.07,0.07,0.07,0.07,0.07,0.49,28.6,0.14,0.14,0.5,8.2,0,0,0.07,0.07,0.16,0,0,86.2,1092.2,420.7,14.2,15.8,90,28.4,30.7,92.5,8.49,12,70.8,0,0,0.03,0,0.07,2.84,0.04,0,3.26,59.9,57.4,2.46,2.28,0,0.67,0,0.18,0,0,0,0,51.6,0.04,0.49,0.56,0.53,0,0,0.04,0,0,0,0,0,0,0,0,0,1.72,1.3,0.98,0.74,0,1.05,2,52.6,0.95,1.23,0.67,0.56,1.54,3.26,4.42,0,8.07,35,33.4,1.79,1.02,69.9,0.11,0.07,66.7,0.04,33.3,45.2,193.2,104.1,0.14,0.14,0,0.14,0.18,46.9,0.07
"1746","Adrien Thomasson","FRA",27,"MF",1993,"Strasbourg","fr Ligue 1",31,27,2389,26.5,0.08,0.04,0.36,0.45,0.3,0.45,0.36,0.3,1.81,39.6,0.72,0.17,0.42,16.3,0,0,0.23,0.23,0.13,0.07,0.07,75.9,601.9,148.8,18.6,22.5,82.7,14.2,17.2,82.5,2.91,4.91,59.2,0.15,0.12,0.17,0.03,1.25,3.81,1.51,0.34,5.7,49.2,47.2,1.7,0.6,0.34,0.11,2.15,0.53,0.23,0.04,0.04,0,37.4,0.3,1.47,3.36,2.49,0.15,0.23,0.19,0.23,0.08,0.49,0.38,0,0.04,0.08,0,0,2.42,1.17,0.68,1.02,0.72,1.13,3.51,32.3,2.38,2.11,0.15,1.96,1.09,3.51,0.6,0.04,0.98,8.91,30.5,24.2,4.42,63.1,2.08,1.17,56.4,0.91,43.6,36.8,171.4,66.2,1.62,1.58,0.49,2.34,1.28,41.7,6.3
"1747","Morten Thorsby","NOR",25,"MF",1996,"Sampdoria","it Serie A",35,35,2943,32.7,0.31,0,0.13,0.12,0.09,0.12,0.13,0.09,0.8,26.9,0.21,0.12,0.43,13.3,0,0,0.1,0.1,0.12,-0.01,-0.01,71.1,280.5,90.3,13.3,17,78.1,6.12,8.69,70.4,0.52,1.19,43.6,0.03,0.03,0.05,0,0.46,2.14,0.28,0,2.69,30.3,29.8,0.46,0.37,0.09,0.09,0,0.09,0,0,0,0,21.6,0.03,0.64,1.28,1.13,0,0.03,0.06,0.06,0,0.06,0.06,0,0,0,0,0,1.41,0.8,0.46,0.7,0.24,0.86,1.71,50,0.86,1.13,0.37,0.76,0.76,2.17,1.19,0,2.26,8.75,23.3,9.33,2.08,41.1,0.76,0.4,52,0.37,48,17.5,64.4,27.6,0.55,0.4,0.03,1.96,0.67,24.6,1.56
"1748","Thuler","BRA",22,"DF",1999,"Montpellier","fr Ligue 1",16,10,855,9.5,0.32,0.11,0.01,0,0,0,0.01,0,0.11,0,0,0,0,9.8,0,0,0.01,0.01,0.07,-0.01,-0.01,82.8,528.5,190.8,11.2,12.3,90.6,15.2,17.1,88.9,2,4.11,48.7,0,0,0,0,0,0.63,0,0,1.26,34.9,33.8,1.16,0.74,0,0,0.21,0.21,0,0,0,0,28.9,0,0.53,0.11,0.11,0,0,0,0,0,0,0,0,0,0,0,0,2.21,1.26,1.79,0.42,0,0.84,1.58,53.3,0.74,0.95,0.74,0.21,0.95,3.16,3.16,0,8.74,26.6,16.2,1.16,0.32,43.7,0,0,0,0,0,26.5,127.9,73.7,0.32,0.11,0,0.32,0.32,25.3,0.11
"1749","Marcus Thuram","FRA",23,"FW",1997,"M'Gladbach","de Bundesliga",21,9,979,10.9,0.18,0,0.52,0.28,0.28,0.28,0.57,0.28,2.94,34.4,1.01,0.09,0.27,13.1,0,0,0.42,0.42,0.15,-0.15,-0.15,71.4,201.7,45.8,8.53,10.6,80.2,4.31,5.96,72.3,0.73,1.01,72.7,0,0.1,0.13,-0.1,1.19,0.92,0.92,0.09,1.56,20.6,18.9,1.65,0,0.18,0.09,0.64,0.09,0,0,0,0,14.7,0,0.73,3.3,1.83,0.09,0.64,0.28,0.46,0,0.2,0,0,0,0.09,0.09,0,0.55,0.46,0,0.46,0.09,0.09,0.37,25,0.28,0.46,0,0.46,0.46,1.01,0.46,0,0.46,1.56,15.8,15.9,5.69,32.6,3.3,2.11,63.9,1.19,36.1,19.6,146.7,72.1,2.94,1.74,1.93,3.3,2.29,25.7,8.72
"1750","Khéphren Thuram-Ulie","FRA",20,"MF",2001,"Nice","fr Ligue 1",36,20,1901,21.1,0.19,0,0.24,0.28,0.19,0.28,0.24,0.19,1.09,30.4,0.33,0.17,0.57,17,0,0,0.13,0.13,0.12,0.06,0.06,85.6,770,182.3,21.4,24,89.1,19.8,21.8,90.9,3.55,5.12,69.4,0.09,0.11,0.09,-0.01,1.04,4.88,1,0.05,5.83,53.7,51.9,1.75,1.56,0.14,0.19,0.47,0.19,0,0,0,0,46,0.09,0.71,2.46,1.9,0,0.24,0.19,0.09,0.05,0.43,0.28,0,0.05,0.05,0.05,0,1.56,0.9,0.52,0.85,0.19,0.81,1.66,48.6,0.85,1.47,0.52,0.95,1.33,2.89,0.9,0,1.61,11.2,42.6,11.8,1.28,63.9,2.04,1.52,74.4,0.52,25.6,44.5,293,138.3,3.08,2.65,0.28,1.61,1.09,44.9,1.56
"1751","Alexis Tibidi","FRA",17,"MF",2003,"Stuttgart","de Bundesliga",13,2,385,4.3,0.23,0,0.19,0,0,0,0.18,0,0.93,0,0,0,0,12.5,0,0,0.09,0.09,0.1,-0.09,-0.09,73.8,265.1,44.7,13.3,15.8,83.8,5.58,7.67,72.7,0.7,1.16,60,0,0.09,0.07,-0.09,0.93,0.93,0.93,0,1.86,28.4,27.7,0.7,0.23,0.23,0,0.7,0.23,0,0,0,0,20.9,0,1.16,3.49,2.79,0,0,0.47,0.23,0,0.23,0,0,0,0.23,0,0,1.63,0.7,0.23,0.7,0.7,0.7,0.93,75,0.23,0.93,0,0.93,0.7,2.33,0.47,0,0.7,5.35,17,16.5,2.79,38.6,0.7,0.7,100,0,0,25.1,119.3,53,1.86,1.4,0.93,3.72,0.93,30.5,7.21
"1752","Youri Tielemans","BEL",24,"MF",1997,"Leicester City","eng Premier League",32,29,2631,29.2,0.1,0,0.24,0.34,0.14,0.27,0.29,0.21,1.95,26.3,0.51,0.07,0.27,25,0,0.07,0.15,0.1,0.05,0.05,0.04,81.3,816.5,251.8,24.7,27.7,89.1,19.7,23,85.4,4.08,7.16,56.9,0.14,0.14,0.13,-0.01,1.27,5.86,0.96,0.24,6.92,61.1,57.6,3.25,1.68,0.41,0.72,1.92,0.48,0.89,0.48,0.24,0,49.7,0.24,0.92,3.46,2.74,0.17,0.21,0.21,0.03,0.1,0.51,0.48,0,0,0.03,0,0,2.53,1.3,0.79,1.54,0.21,1.44,3.42,42,1.99,1.61,0.45,1.16,0.72,3.25,1.4,0.1,2.67,15.3,41.7,16.1,1.23,72.2,1.34,0.86,64.1,0.48,35.9,38.6,144.5,73.8,1.06,1.23,0.17,1.51,1.03,51.8,2.36
"1753","Kieran Tierney","SCO",24,"DF",1997,"Arsenal","eng Premier League",22,22,1915,21.3,0,0,0.11,0.19,0.05,0.19,0.11,0.05,0.7,33.3,0.23,0.07,0.2,20.8,0,0,0.03,0.03,0.04,0.02,0.02,77.3,764.6,244.5,17.8,20,88.8,20.2,24.1,84,3.85,8.17,47.1,0.14,0.08,0.08,0.06,0.94,3.8,1.13,0.56,4.93,54.7,45.8,8.59,0.33,0,0.61,3.71,8.22,0.05,0,0,0,42.3,0.33,1.03,2.07,1.69,0.23,0.05,0.05,0.05,0,0.09,0.09,0,0,0,0,0,0.85,0.66,0.52,0.33,0,0.47,0.52,90.9,0.05,1.08,0.23,0.85,0.7,1.55,2.54,0,2.91,15.9,27.3,20.5,1.64,63.2,1.08,0.42,39.1,0.66,60.9,34.3,176.2,102.7,2.91,1.5,0.33,0.85,0.38,39.1,6.01
"1754","Timothy Tillman","GER",22,"MF",1999,"Greuther Fürth","de Bundesliga",29,23,2004,22.3,0.13,0,0.19,0.13,0.04,0.13,0.19,0.04,1.08,33.3,0.36,0.04,0.13,19.1,0.09,0,0.07,0.07,0.07,-0.03,-0.03,71,368.6,119.9,10.9,12.7,85.2,9.24,11.5,80.5,1.75,4.66,37.5,0.09,0.12,0.13,-0.03,1.3,1.93,0.94,0.13,3.81,32,27.8,3.9,1.21,0.13,0.18,3,0.09,1.88,1.35,0.31,0.18,22.7,0.22,1.52,2.24,1.39,0.4,0.18,0.13,0.04,0.09,0.18,0.13,0,0.04,0,0,0,1.93,1.17,0.76,0.81,0.36,0.85,1.88,45.2,1.03,1.48,0.18,1.3,0.54,2.47,1.17,0,1.88,9.6,23.2,12.7,1.03,44.6,3.05,1.7,55.9,1.35,44.1,24.2,137.4,55,1.48,0.81,0.49,3.09,1.26,26.5,3.72
"1755","Jean-Clair Todibo","FRA",21,"DF",1999,"Nice","fr Ligue 1",36,35,3115,34.6,0.17,0,0.1,0.03,0.03,0.03,0.1,0.03,0.55,31.6,0.17,0.05,0.17,9.9,0,0,0.08,0.08,0.15,-0.05,-0.05,87.1,1187,415.1,20.6,22.4,92,34.7,37.1,93.8,5.72,9.86,58.1,0,0.03,0.05,-0.03,0.43,4.97,0.2,0.12,5.03,70.7,68.4,2.11,1.85,0.14,0.49,0.26,0.26,0,0,0,0,61.6,0.14,0.55,0.98,0.75,0.03,0.03,0.17,0,0,0.12,0.06,0,0,0.06,0,0,1.71,1.07,1.24,0.43,0.03,1.13,1.73,65,0.61,1.3,0.61,0.69,1.47,3.18,3.76,0.06,7.31,32.9,46.2,2.43,0.78,81,0.55,0.4,73.7,0.14,26.3,57.7,308.5,169.3,0.95,0.58,0,0.64,0.2,57.1,0.23
"1756","Karl Toko Ekambi","CMR",28,"FW",1992,"Lyon","fr Ligue 1",30,26,2296,25.5,0.12,0,0.63,0.67,0.39,0.59,0.69,0.47,2.9,48.6,1.41,0.14,0.28,14.4,0,0.08,0.49,0.43,0.15,-0.02,-0.04,77.8,426.9,81.1,16.2,18.9,85.7,9.65,12,80.7,1.57,2.71,58,0.2,0.2,0.17,0,1.53,1.06,1.49,0.51,2.16,36.9,35.9,0.82,0.04,0.24,0.39,2,0.67,0,0,0,0,28.7,0.16,1.1,3.33,2.55,0,0.55,0.2,0.04,0,0.47,0.35,0,0.04,0.08,0,0,0.51,0.27,0.16,0.24,0.12,0.16,0.82,19,0.67,1.02,0,1.02,0.78,1.29,0.2,0,0.24,4.31,20.2,24.7,5.69,48.6,3.29,1.73,52.4,1.57,47.6,35,211.4,106.4,3.49,1.84,1.41,2.55,1.53,38.1,10.5
